"","gps.lon","gps.lat","price","Rooms","Meters","Mezone","KK","panel","balcony_or_terrase","metro","novostavba"
"1",14.515314,50.108521,9840000,3,93,0,1,0,1,1,0
"2",14.513731,50.055637,3980000,3,55,0,0,1,1,1,0
"3",14.341022,50.048527,5958150,2,59,0,1,0,0,1,1
"4",14.341022,50.048527,4657156,1,76,0,1,0,0,1,1
"5",14.341022,50.048527,5466765,2,64,0,1,0,1,1,1
"6",14.341022,50.048527,5466765,2,64,0,1,0,1,1,1
"7",14.341022,50.048527,5466765,2,64,0,1,0,1,1,1
"8",14.341022,50.048527,5708997,2,68,0,1,0,1,1,1
"9",14.341022,50.048527,4743060,2,44,0,1,0,0,1,1
"10",14.416498,50.070641,11100000,2,78,0,1,0,0,1,0
"11",14.480434,50.097126,8200000,3,95,0,1,0,1,1,1
"12",14.341022,50.048527,4464248,2,69,0,1,0,0,1,0
"13",14.341022,50.048527,4743060,2,71,0,1,0,0,1,0
"14",14.341022,50.048527,5708997,2,68,0,1,0,1,1,0
"15",14.428946,50.139072,6300000,2,67,0,1,0,1,1,1
"16",14.4501,50.049686,10500000,2,115,0,1,1,1,1,0
"17",14.314617,50.051598,4590000,3,66,0,1,1,0,1,0
"18",14.431656,50.078106,18000000,4,116,0,0,0,0,1,0
"19",14.341486,50.089512,18499000,6,231,1,0,0,1,1,1
"20",14.458561,50.088448,4526610,1,35,0,1,0,1,1,1
"21",14.458561,50.088448,5546450,2,48,0,1,0,0,1,1
"22",14.458561,50.088448,4305600,1,29,0,1,0,0,1,1
"23",14.458561,50.088448,4116420,1,34,0,1,0,0,1,1
"24",14.458561,50.088448,6894250,2,60,0,1,0,1,1,1
"25",14.458561,50.088448,9240250,3,87,0,1,0,1,1,1
"26",14.458561,50.088448,5988050,2,47,0,1,0,1,1,1
"27",14.458561,50.088448,9296600,3,81,0,1,0,1,1,1
"28",14.475321,50.091621,10285600,4,84,0,1,0,1,1,1
"29",14.458561,50.088448,7731450,3,66,0,1,0,1,1,1
"30",14.458561,50.088448,9004500,3,79,0,1,0,0,1,1
"31",14.458561,50.088448,4754090,1,38,0,1,0,0,1,1
"32",14.458561,50.088448,5331400,1,40,0,1,0,0,1,1
"33",14.458561,50.088448,4963720,1,40,0,1,0,0,1,1
"34",14.438405,50.069111,3171000,1,26,0,1,0,0,1,0
"35",14.431713,50.072926,7890000,5,98,0,0,0,0,1,0
"36",14.450426,50.09539,4820000,1,36,0,1,0,0,1,1
"37",14.438395,50.06913,3440000,1,26,0,1,0,0,1,0
"38",14.475834,50.124184,8990000,4,95,0,0,0,1,1,1
"39",14.475834,50.124184,8990000,3,95,0,1,0,1,1,1
"40",14.403954,50.061764,10620000,3,98,0,1,0,1,1,1
"41",14.513731,50.055637,3980000,3,55,0,0,1,1,1,0
"42",14.341022,50.048527,5958150,2,59,0,1,0,0,1,1
"43",14.341022,50.048527,4657156,1,76,0,1,0,0,1,1
"44",14.341022,50.048527,5466765,2,64,0,1,0,1,1,1
"45",14.341022,50.048527,5466765,2,64,0,1,0,1,1,1
"46",14.341022,50.048527,5466765,2,64,0,1,0,1,1,1
"47",14.341022,50.048527,5708997,2,68,0,1,0,1,1,1
"48",14.341022,50.048527,4743060,2,44,0,1,0,0,1,1
"49",14.416498,50.070641,11100000,2,78,0,1,0,0,1,0
"50",14.480434,50.097126,8200000,3,95,0,1,0,1,1,1
"51",14.341022,50.048527,4464248,2,69,0,1,0,0,1,0
"52",14.341022,50.048527,4743060,2,71,0,1,0,0,1,0
"53",14.341022,50.048527,5708997,2,68,0,1,0,1,1,0
"54",14.428946,50.139072,6300000,2,67,0,1,0,1,1,1
"55",14.4501,50.049686,10500000,2,115,0,1,1,1,1,0
"56",14.314617,50.051598,4590000,3,66,0,1,1,0,1,0
"57",14.431656,50.078106,18000000,4,116,0,0,0,0,1,0
"58",14.341486,50.089512,18499000,6,231,1,0,0,1,1,1
"59",14.458561,50.088448,4526610,1,35,0,1,0,1,1,1
"60",14.458561,50.088448,5546450,2,48,0,1,0,0,1,1
"61",14.458561,50.088448,4305600,1,29,0,1,0,0,1,1
"62",14.458561,50.088448,4116420,1,34,0,1,0,0,1,1
"63",14.458561,50.088448,6894250,2,60,0,1,0,1,1,1
"64",14.458561,50.088448,9240250,3,87,0,1,0,1,1,1
"65",14.458561,50.088448,5988050,2,47,0,1,0,1,1,1
"66",14.458561,50.088448,9296600,3,81,0,1,0,1,1,1
"67",14.475321,50.091621,10285600,4,84,0,1,0,1,1,1
"68",14.458561,50.088448,7731450,3,66,0,1,0,1,1,1
